"bid","beer_name","beer_abv","beer_ibu","beer_slug","beer_style","rating_score","rating_count","auth_rating"
"4541","Amstel Light","3,5","0","amstel-bier-amstel-light","Lager - American Light","2.68776","61975",
"13276","FIX Hellas","5","0","olympic-brewery-fix-hellas","Lager - Helles","2.90982","26223",
"5650","Mythos","5","0","olympic-brewery-mythos","Lager - Pale","3.00213","71271",
"51595","Alfa Beer (A???)","5","0","athenian-brewery-alfa-beer-alfa","Lager - Pale","2.92602","21508",
"72160","Amstel","5","21","amstel-bier-amstel","Lager - Euro","2.8557","84245",
"25004","Kaiser Fasstyp / Kaiser Bier","5","0","brauerei-wieselburg-kaiser-fasstyp-kaiser-bier","Lager - Helles","3.07467","8805",
"586828","Amstel Free","0","0","athenian-brewery-amstel-free","Non-Alcoholic","2.0602","299",
"2335768","?im?","4,5","40","hiisi-aima","Pilsner - Other","3.21948","213",
"564031","Stone Go To IPA","4,5","65","stone-brewing-co-stone-go-to-ipa","IPA - Session / India Session Ale","3.74358","163934",
"943135","Drew & Steve's Imperial Mutt Brown Ale (Spotlight Series)","9","45","stone-brewing-co-drew-steve-s-imperial-mutt-brown-ale-spotlight-series","Brown Ale - Imperial / Double","3.81937","26467",
"2124149","Yes IPA","5,5","50","sori-brewing-yes-ipa","Gluten-Free","3.49564","630",
"2257556","Sadonkorjuu","4,5","0","vakka-suomen-panimo-osakeyhtio-sadonkorjuu","M?rzen","2.81176","85",
"18882","Hullujussi","7","0","panimo-tislaamo-teerenpeli-hullujussi","Porter - Other","3.2185","127",
"2270995","Tuhansien J?rvien Pils","5,2","60","iso-kallan-panimo-tuhansien-jarvien-pils","Pilsner - Other","3.16169","201",
"8668","Whitstable Bay Organic Ale","4,5","0","shepherd-neame-whitstable-bay-organic-ale","Golden Ale","3.2334","9698",
"2031384","Zhiguli Barnoe Export (?????? ?????? ???????)","4,9","0","moscow-brewing-company-moskovskaya-pivovarennaya-kompaniya-zhiguli-barnoe-export-zhiguli-barnoe-eksport","Lager - Euro","2.82375","261",
"2128055","I Asked For Barley Wine ( She Brought Me Gasoline)","8,5","72","hiisi-i-asked-for-barley-wine-she-brought-me-gasoline","Barleywine - American","3.61966","117",
"5558","Sculpin","7","70","ballast-point-brewing-company-sculpin","IPA - American","4.01683","330105",
"161021","Double Trouble","9","167","tuatara-brewery-double-trouble","IPA - Imperial / Double","4.02232","4156",
"571205","The Commodore","6,5","60","ballast-point-brewing-company-the-commodore","Stout - American","3.72148","42438",
"2037959","Rock An Allday, everyday Lager 4,7 ABV","4,7","20","rps-brewing-rock-an-allday-everyday-lager-4-7-abv","Lager - Euro","3.15527","446",
"2037962","Paper Rye Candy Red Ale 5,2 ABV","5,2","53","rps-brewing-paper-rye-candy-red-ale-5-2-abv","Red Ale - Other","3.19041","386",
